How many employees directly report to you?,What is your hierarchical level within your organization?,What is your job function?,How many years have you held your current position?,What is your gender?,How old are you?,What is the size of your organisation?,What type of environment do you reside in?,What is your current place of residence?,Did you suffer from a burnout in the last 6 months?,What is the primary industry sector your organization is working in?,How stressed do you feel?,What was your perceived workload in the last month (none - too high)?,"During the last month I felt anxious (1 not at all, 7 extreme)?","During the last month I felt unmotivated (1 not at all, 7 extreme)?","During the last month I felt stressed (1 not at all, 7 extreme)?",What was the perceived number of stressfull events in the last month (none - too high)?,What was your perceived level of control over your life during the last month (none - full)?,The amount of physical activity was?,The quality of my sleep was?,My job satisfaction was?,My job productivity was?,I feel aligned with my team leader?,"I feel engaged at my daily work (1 not at all, 7 extreme)?","I feel appreciated at my workplace (1 not at all, 7 extreme)?","I feel aligned with my other team members (1 not at all, 7 extreme)?","I have a healthy work-life balance  (1 not at all, 7 extreme)?","How close to you feel you are to a burnout? (1 not at all, 7 extreme)?","My abilities fit my job requirement well (1 not at all, 7 extreme)?","How many lottery tickets, tombolas, or games of chance with very low probabilities of winning have you purchased in the past year?","How many times have you gambled for money in the past year (casino, sports-bets, online gambling etc.)?","How many high-risk investments (e.g., cryptocurrency, penny stocks) have you made in the past year?","Do you engage in extreme sports or activities with a known risk of physical injury (rock climbing, skydiving, motorbike racing etc.)?",How many times did you quit a stable job to pursue a career or business opportunity with uncertain outcomes?,How many speculative or unproven business ideas have you invested in within the past five years?,How many times have you traveled to an unfamiliar destination without making detailed plans or reservations?,How many new products or services have you purchased without reading reviews or consulting others?,"How many spontaneous decisions (e.g., last-minute travel, major purchases) have you made in the past 5 years?",How many times have you attended events or activities without knowing anyone there beforehand?,How many times have you changed your career path or job direction in the past 5 years?,"How many insurance policies (e.g., health, life, travel, product warranties) to protect against the possibility of loss have you purchased in the past 5 years?",How many refund policies or money-back guarantees have you utilized in the past 5 years?,"Which one do you prefer: secure, low-return financial products or a riskier, high-return alternative?",How many times have you rejected a job or project opportunity with significant benefits because it involved significant financial or status risk?,"How many high-risk, high-reward investments have you made in the past 5 years?",How many fitness or personal improvement challenges have you taken on in the past 5 years to achieve measurable goals?,How many times have you pursued bonuses or promotions in your job in the past 5 years?,How many times have you avoided giving advice to not be accountable for the outcome in the past 5 years?,"In team-, group of friends- or family-decisions how often are you the one who makes the final call? (in percentages)","How often have you voiced a controversial opinion in a public setting, knowing it might result in social backlash in the past year?","How often have you set a goal for yourself that statistically only a small percentage of people achieve (e.g., climbing Everest, writing a bestseller) in the past 5 years?","Have you ever avoided volunteering for roles (e.g., on a board, committee, or leadership position) where you would be responsible for making impactful decisions for a group?",How satisfied are you with your current job?,To what extent do you feel your work is meaningful?,How supported do you feel by your team leader?,How well does your current role align with your personal values?,Have you considered changing jobs in the past 6 months?,Do you feel appreciated at your organization?,Would you recommend your workplace to others?,How would you rate your job performance over the past year? (Self-assessed),Did you receive any formal recognition or bonus in the past 12 months?,How was your job productivity over the last month?,To what extent did you meet your KPIs in the last year?,How much was the rating of your job productivity for the last year?
1-5,Middle management,Community and Social Services,1-3,Female,36-45,250-1000,Suburban / agglomeration,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Engineering,1-3,Male,36-45,250-1000,Suburban / agglomeration,United States,No,Transportation,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Administrative,>10,Female,46-55,>1000,Suburban / agglomeration,United States,Yes,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Arts and Design,5-10,Male,36-45,>1000,Suburban / agglomeration,United States,No,No answer,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Consulting,3-5,Female,26-35,50-249,Urban,Switzerland,No,Health Care,Medium,Very High,4,2,4,High,Average,Average (2-3 days a week),High,High,Very High,Very High,7,6,6,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Personnel supérieur,Finance,>10,Homme,46-55,250-1000,Rural,France,Non,Fabrication,Moyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Engineering,3-5,Male,18-25,>1000,Urban,India,No,IT / Software / Tech,Low,,,,,,,,,,,,3,3,3,6,3,4,0,0,>20,No answer,0,0,3-5,1-3,5-10,1-3,0,1-3,0,"secure, low-return financial products",1-3,1-3,1-3,3-5,1-3,30%,1-3,3-5,No,Neutral,Very,Very,Very,No,Very,Probably yes,Meets expectations,Yes,Low,Very,
1-5,Executive management,Human Resources,3-5,Female,36-45,250-1000,Suburban / agglomeration,United States,Yes,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Finance,3-5,Female,36-45,>1000,Urban,Switzerland,Yes,Food & Beverage,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Healthcare Services,0-1,Female,18-25,No answer,Urban,France,No,Health Care,Medium,Low,2,2,2,Very low,Average,Average (2-3 days a week),Low,No answer,Average,No answer,5,5,5,5,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Operations,5-10,Male,26-35,>1000,Rural,Germany,No,Manufacturing,Medium,,,,,,,,,,,,5,6,5,5,1,7,3-5,5-10,3-5,No,0,0,1-3,>20,>20,5-10,0,1-3,5-10,"riskier, high-return products",0,3-5,1-3,1-3,0,30%,1-3,1-3,Yes,Satisfied,Very,Somewhat,Very,No,Somewhat,Probably yes,Exceeds expectations,Yes,Average,Somewhat,
0,First-level management,Program and Project Management,3-5,Female,36-45,>1000,Urban,United States,No,Government,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Information Technology,3-5,Female,36-45,250-1000,Suburban / agglomeration,United States,Yes,Finance,Medium,,,,,,,,,,,,5,6,6,5,5,6,0,0,0,No,0,0,3-5,3-5,1-3,3-5,1-3,0,5-10,"secure, low-return financial products",1-3,0,0,1-3,0,10%,0,0,Yes,Very satisfied,Somewhat,Very,Somewhat,No,Very,Definitely yes,Exceeds expectations,Yes,Average,Very,
1-5,Middle management,Administrative,3-5,Female,56-65,>1000,Suburban / agglomeration,United States,Yes,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Senior staff,Community and Social Services,5-10,Female,46-55,10-49,Suburban / agglomeration,United States,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Community and Social Services,1-3,Female,46-55,50-249,Suburban / agglomeration,United States,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Human Resources,>10,Female,56-65,1-9,Urban,United States,No,Pharma,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Media and Communication,3-5,Female,26-35,10-49,Suburban / agglomeration,United States,Yes,Marketing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Operations,1-3,Female,56-65,1-9,Rural,Switzerland,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-20,Self employed / contractor,Accounting,3-5,Female,18-25,10-49,Urban,Namibia,No,Education,Low,,,,,,,,,,,,6,3,5,7,3,4,1-3,3-5,5-10,Yes,3-5,5-10,5-10,3-5,1-3,>20,3-5,1-3,5-10,"secure, low-return financial products",3-5,0,1-3,10-20,>20,40%,1-3,5-10,No,Neutral,Slightly,Extremely,Very,"Yes, occasionally",Extremely,Definitely not,Meets expectations,Yes,Average,Somewhat,
0,Selbstständig / Freiberufler,Beratung,1-3,Weiblich,26-35,50-249,Städtisch,Deutschland,Nein,Gesundheitswesen,Niedrig,,,,,,,,,,,,6,5,7,6,1,7,1-3,1-3,0,Ja,3-5,1-3,>20,0,3-5,10-20,3-5,1-3,1-3,"sichere, niedrig verzinste Finanzprodukte",0,1-3,>20,1-3,0,80%,>20,>20,Nein,Zufrieden,Ein wenig,Überhaupt nicht,Sehr,"Ja, gelegentlich",Ein wenig,Nicht sicher,Weit über den Erwartungen,Nein,Hoch,Sehr,
1-5,First-level management,Research,1-3,Male,36-45,50-249,Rural,United States,No,Multiple,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Middle management,Community and Social Services,5-10,Female,36-45,>1000,Suburban / agglomeration,United States,Yes,Education,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Information Technology,1-3,Female,18-25,1-9,Suburban / agglomeration,Egypt,No,IT / Software / Tech,Low,,,,,,,,,,,,6,5,6,5,1,5,No answer,0,1-3,Yes,1-3,1-3,3-5,5-10,1-3,5-10,0,No answer,No answer,"riskier, high-return products",1-3,1-3,3-5,No answer,No answer,90%,No answer,10-20,No,Very satisfied,Extremely,Very,Somewhat,"Yes, occasionally",Very,Probably yes,Exceeds expectations,No answer,High,Very,
0,Senior staff,Consulting,0-1,Female,46-55,1-9,Suburban / agglomeration,Switzerland,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Information Technology,>10,Male,36-45,>1000,Suburban / agglomeration,Canada,Yes,Agriculture,Medium,,,,,,,,,,,,3,1,2,4,4,6,1-3,1-3,3-5,Yes,1-3,0,1-3,0,3-5,1-3,0,1-3,>20,"secure, low-return financial products",0,1-3,3-5,3-5,0,90%,1-3,No answer,Yes,Satisfied,Slightly,Somewhat,Somewhat,No,Somewhat,Probably yes,Meets expectations,Yes,Average,Very,
>20,Executive management,Healthcare Services,3-5,Female,26-35,250-1000,Urban,South Africa,Yes,Health Care,Medium,,,,,,,,,,,,6,3,3,4,3,4,1-3,>20,3-5,Yes,0,0,0,5-10,5-10,3-5,5-10,3-5,3-5,"secure, low-return financial products",3-5,1-3,3-5,3-5,3-5,30%,10-20,3-5,No,Satisfied,Extremely,Slightly,Very,No,Somewhat,Probably yes,Meets expectations,No,Average,Slightly,
1-5,Intermediate level staff,Product Management,3-5,Male,26-35,250-1000,Urban,Spain,No,Health Care,Low,,,,,,,,,,,,6,6,5,7,2,6,1-3,1-3,1-3,Yes,3-5,1-3,0,3-5,1-3,0,1-3,3-5,1-3,"secure, low-return financial products",5-10,0,1-3,3-5,1-3,20%,1-3,0,No,Very satisfied,Very,Extremely,Very,No,Very,Probably yes,Far exceeds expectations,Yes,High,Very,
0,Intermediate level staff,Administrative,1-3,Female,46-55,250-1000,Suburban / agglomeration,Albania,Yes,Agriculture,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Business Development,3-5,Female,36-45,250-1000,Urban,United States,Yes,Other,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,First-level management,Education,5-10,Male,36-45,250-1000,Suburban / agglomeration,Japan,No answer,Education,High,,,,,,,,,,,,5,5,6,5,5,5,0,0,1-3,Yes,1-3,0,3-5,1-3,1-3,3-5,0,3-5,1-3,"secure, low-return financial products",0,0,1-3,1-3,3-5,60%,3-5,0,Yes,Satisfied,Very,Somewhat,Very,"Yes, occasionally",Very,Probably yes,Exceeds expectations,Yes,Average,Somewhat,
10-20,Self employed / contractor,Community and Social Services,>10,Male,56-65,50-249,Rural,United States,Yes,Other,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Support / Training and Development,3-5,Female,36-45,>1000,Urban,Colombia,No,IT / Software / Tech,Low,,,,,,,,,,,,5,No answer,No answer,6,1,4,1-3,0,0,No,1-3,1-3,1-3,5-10,5-10,1-3,1-3,1-3,0,"secure, low-return financial products",1-3,1-3,3-5,1-3,1-3,60%,1-3,0,No,Satisfied,Slightly,Slightly,Somewhat,"Yes, occasionally",Somewhat,Probably yes,Exceeds expectations,No,,No answer,High
>20,First-level management,Business Development,>10,Male,46-55,50-249,Suburban / agglomeration,Switzerland,No,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Consulting,0-1,Male,26-35,50-249,Urban,Switzerland,No,Health Care,Medium,High,1,2,4,High,Average,High (4-6 days a week),Average,Average,High,High,5,7,7,4,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,First-level management,Education,3-5,Female,36-45,>1000,Urban,Switzerland,Yes,Pharma / Life Sciences,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Customer Service / Client Relations,0-1,Male,18-25,10-49,Urban,India,Yes,IT / Software / Tech,Low,,,,,,,,,,,,5,5,4,3,3,4,0,0,3-5,No,1-3,1-3,0,3-5,1-3,5-10,1-3,0,0,"riskier, high-return products",0,1-3,1-3,1-3,1-3,10%,0,0,No,Dissatisfied,Somewhat,Very,Somewhat,"Yes, occasionally",Somewhat,Definitely not,Meets expectations,Yes,High,Very,
0,Senior staff,Healthcare Services,>10,Female,46-55,>1000,Urban,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Middle management,Consulting,3-5,Male,>65,1-9,Suburban / agglomeration,United States,No,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Engineering,1-3,Male,46-55,>1000,Suburban / agglomeration,United States,Yes,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Education,0-1,Female,46-55,50-249,Urban,Germany,No,Health Care,Low,,,,,,,,,,,,5,5,6,6,2,6,0,0,0,No,0,0,3-5,1-3,1-3,1-3,1-3,1-3,1-3,"secure, low-return financial products",0,0,3-5,1-3,0,40%,3-5,0,No,Very satisfied,Very,Very,Very,No,Very,Definitely yes,Exceeds expectations,No,High,Somewhat,
5-10,Senior-Ebene,Marketing,0-1,Männlich,46-55,>1000,Ländlich,Deutschland,Nein,Landwirtschaft,Niedrig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,First-level management,Education,3-5,Female,>65,10-49,Suburban / agglomeration,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Operations,0-1,Female,26-35,>1000,Suburban / agglomeration,Poland,Yes,IT / Software / Tech,Low,,,,,,,,,,,,3,5,6,6,6,5,10-20,0,10-20,No,1-3,0,5-10,0,>20,10-20,1-3,5-10,10-20,"riskier, high-return products",0,1-3,1-3,3-5,0,70%,3-5,1-3,Yes,Neutral,Somewhat,Very,Slightly,"Yes, occasionally",Very,Definitely yes,Meets expectations,Yes,High,Very,
1-5,Intermediate level staff,Community and Social Services,3-5,Male,56-65,250-1000,Suburban / agglomeration,Albania,Yes,Entertainment,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Quality Assurance,3-5,Female,46-55,50-249,Rural,United States,Yes,Pharma,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Intermediate level staff,Consulting,1-3,Male,18-25,10-49,Urban,Netherlands,No,Health Care,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Zwischenebene,Gemeinschafts- und Sozialdienste,1-3,Weiblich,26-35,10-49,Vorstadt / Ballungsraum,Ägypten,Nein,Bau,Mittel,,,,,,,,,,,,3,2,2,1,1,2,1-3,1-3,1-3,Nein,1-3,1-3,1-3,1-3,1-3,0,3-5,1-3,1-3,"riskantere, aber ertragsstärkere Produkte",1-3,0,1-3,3-5,1-3,0%,1-3,1-3,Nein,Keine Antwort,Ein wenig,Überhaupt nicht,Ein wenig,Keine Antwort,Überhaupt nicht,Auf keinen Fall,Deutlich unter den Erwartungen,Ja,Durchschnittlich,Sehr,
0,Senior staff,Human Resources,0-1,Female,36-45,250-1000,Urban,Switzerland,No,Media,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Operations,3-5,Female,36-45,50-249,Urban,United States,Yes,Construction,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Research,3-5,Male,56-65,>1000,Suburban / agglomeration,France,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Logistics / Supply Chain,1-3,Female,18-25,10-49,Suburban / agglomeration,Germany,No,Other,Low,,,,,,,,,,,,5,3,4,7,1,No answer,0,0,0,No,0,0,0,>20,10-20,0,0,1-3,3-5,"secure, low-return financial products",0,0,3-5,0,0,70%,>20,0,No,Neutral,Slightly,Slightly,Not at all,"Yes, occasionally",Slightly,Not sure,Exceeds expectations,No,High,No answer,
0,Intermediate level staff,Administrative,5-10,Female,56-65,1-9,Suburban / agglomeration,United States,Yes,Manufacturing,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Einstiegsebene,Beratung,0-1,Weiblich,18-25,10-49,Städtisch,Deutschland,Nein,Gesundheitswesen,Niedrig,,,,,,,,,,,,5,5,5,5,2,5,1-3,0,0,Nein,0,0,1-3,1-3,5-10,1-3,0,1-3,1-3,"riskantere, aber ertragsstärkere Produkte",0,0,0,0,1-3,10%,0,0,Nein,Zufrieden,Sehr,Sehr,Sehr,Nein,Sehr,Wahrscheinlich ja,Entspricht den Erwartungen,Nein,Durchschnittlich,Sehr,
0,Middle management,Consulting,3-5,Male,26-35,10-49,Urban,Switzerland,No,Pharma,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,Executive management,Healthcare Services,3-5,Female,56-65,250-1000,Suburban / agglomeration,United States,Yes,Health Care,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Executive management,Information Technology,>10,Female,56-65,>1000,Suburban / agglomeration,United States,No,Government,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>20,First-level management,Healthcare Services,3-5,Female,36-45,>1000,Suburban / agglomeration,Canada,Yes,Health Care,Low,,,,,,,,,,,,4,1,1,1,7,7,1-3,3-5,3-5,Yes,0,0,0,0,3-5,0,0,0,0,"secure, low-return financial products",0,1-3,0,0,0,100%,0,1-3,Yes,Very dissatisfied,Somewhat,Not at all,Somewhat,"Yes, frequently",Slightly,Probably yes,Far exceeds expectations,No,,Extremely,Very High
5-10,Middle management,Information Technology,5-10,Male,46-55,10-49,Urban,Spain,No,Government / Public Administration,High,,,,,,,,,,,,5,7,7,4,6,6,10-20,3-5,1-3,No,1-3,10-20,5-10,3-5,>20,5-10,1-3,1-3,1-3,"riskier, high-return products",1-3,10-20,3-5,1-3,1-3,80%,3-5,1-3,Yes,Satisfied,Somewhat,Very,Somewhat,"Yes, frequently",Very,Probably yes,Exceeds expectations,Yes,High,Very,
No answer,No answer,No answer,No answer,Female,18-25,No answer,Rural,France,No,No answer,Low,Very low,3,4,4,High,Very low,Average (2-3 days a week),High,No answer,No answer,No answer,No answer,No answer,No answer,No answer,1,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Self employed / contractor,Consulting,3-5,Female,46-55,1-9,Urban,United States,No,Other,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Accounting,5-10,Male,26-35,50-249,Urban,Colombia,No,Transportation,Low,,,,,,,,,,,,1,1,7,7,4,7,1-3,0,5-10,Yes,0,1-3,0,3-5,>20,>20,0,1-3,0,"riskier, high-return products",0,1-3,5-10,0,0,80%,>20,3-5,Yes,Dissatisfied,Slightly,Not at all,Extremely,"Yes, frequently",Not at all,Definitely not,Below expectations,Yes,High,Somewhat,
0,Self employed / contractor,Healthcare Services,5-10,Female,56-65,1-9,Suburban / agglomeration,Switzerland,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Weiblich,18-25,Keine Antwort,Ländlich,Deutschland,Nein,Keine Antwort,Niedrig,,,,,,,,,,,,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,2,Keine Antwort,0,0,0,Nein,0,0,1-3,0,3-5,1-3,0,0,1-3,"sichere, niedrig verzinste Finanzprodukte",0,0,0,0,10-20,10%,3-5,0,Ja,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,Keine Antwort,
0,Executive management,Product Management,5-10,No answer,No answer,>1000,No answer,United States,No,Other,No answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Self employed / contractor,Marketing,>10,Female,26-35,1-9,Urban,United States,No,Marketing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Research,3-5,Male,26-35,>1000,Suburban / agglomeration,Switzerland,No answer,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Entry level staff,Accounting,0-1,Male,18-25,1-9,Rural,Afghanistan,Yes,Agriculture,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Business Development,>10,Male,>65,1-9,Urban,United States,Yes,Marketing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Education,>10,Male,>65,1-9,Suburban / agglomeration,United States,No,Education,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Executive management,Administrative,>10,Female,56-65,10-49,Suburban / agglomeration,United States,Yes,IT,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Middle management,Support,5-10,Male,36-45,50-249,Suburban / agglomeration,United States,No,Education,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Self employed / contractor,Sales,1-3,Female,26-35,50-249,Urban,Germany,No,Telecommunication,Medium,,,,,,,,,,,,6,7,7,7,1,7,0,0,1-3,No,0,1-3,0,1-3,5-10,1-3,0,1-3,1-3,"riskier, high-return products",3-5,1-3,1-3,1-3,0,60%,3-5,5-10,Yes,Satisfied,Very,Extremely,Very,No,Very,Definitely yes,Meets expectations,Yes,Average,Very,
0,Travailleur indépendant / contractuel,Conseil,>10,Femme,46-55,1-9,Urbain,Italie,Non,Multiple,Moyen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Selbstständig / Freiberufler,Bildung,3-5,Weiblich,18-25,50-249,Vorstadt / Ballungsraum,Deutschland,Nein,Bildung,Mittel,,,,,,,,,,,,5,5,5,3,5,6,0,0,1-3,Nein,0,1-3,1-3,1-3,1-3,0,1-3,3-5,1-3,"sichere, niedrig verzinste Finanzprodukte",0,1-3,1-3,0,0,50%,1-3,0,Nein,Zufrieden,Sehr,Sehr,Extrem,Nein,Etwas,Wahrscheinlich ja,Entspricht den Erwartungen,Nein,Hoch,Keine Antwort,
5-10,Middle management,Engineering,3-5,Female,26-35,>1000,Urban,France,Yes,Telecommunication,Medium,,,,,,,,,,,,6,6,6,6,4,5,5-10,5-10,0,No,1-3,0,5-10,0,10-20,1-3,0,3-5,3-5,"riskier, high-return products",1-3,0,1-3,1-3,0,50%,>20,1-3,Yes,Satisfied,Very,Very,Very,No,Somewhat,Probably yes,Meets expectations,No,High,Somewhat,
1-5,Middle management,Information Technology,3-5,Male,36-45,>1000,Urban,Switzerland,No,Health Care,Low,Average,2,7,2,Very low,Very High,Low (once a week),Average,Very High,Very High,Very High,7,7,5,5,3,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Intermediate level staff,Arts and Design,5-10,Non-binary / Other,18-25,10-49,Suburban / agglomeration,Afghanistan,Yes,Finance,High,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-5,Senior staff,Consulting,1-3,Female,26-35,1-9,Suburban / agglomeration,United States,Yes,Manufacturing,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Middle management,Information Technology,1-3,Female,36-45,50-249,Urban,United States,Yes,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Senior staff,Accounting,1-3,Female,26-35,10-49,Urban,South Africa,Yes,Finance,Medium,,,,,,,,,,,,4,4,4,5,4,4,1-3,1-3,1-3,Yes,1-3,1-3,3-5,5-10,3-5,1-3,1-3,3-5,1-3,"riskier, high-return products",1-3,1-3,1-3,3-5,3-5,50%,1-3,1-3,Yes,Neutral,Somewhat,Somewhat,Somewhat,No,Somewhat,Probably yes,Meets expectations,Yes,Average,Somewhat,
0,First-level management,Support,1-3,Male,46-55,50-249,Urban,United States,No,Other,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5-10,Executive management,Human Resources,1-3,Male,36-45,>1000,Urban,United States,Yes,Finance,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keine Antwort,Keine Antwort,Keine Antwort,0-1,Weiblich,18-25,Keine Antwort,Vorstadt / Ballungsraum,Österreich,Nein,Keine Antwort,Niedrig,,,,,,,,,,,,5,5,6,6,1,6,0,0,0,Nein,1-3,0,1-3,1-3,1-3,1-3,1-3,0,1-3,"sichere, niedrig verzinste Finanzprodukte",1-3,0,1-3,0,0,30%,0,0,Nein,Neutral,Etwas,Sehr,Ein wenig,"Ja, gelegentlich",Etwas,Wahrscheinlich ja,Entspricht den Erwartungen,Nein,Durchschnittlich,Keine Antwort,
0,Intermediate level staff,Product Management,5-10,Female,56-65,250-1000,Urban,United States,No,Media,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,Senior staff,Engineering,5-10,Male,46-55,250-1000,Suburban / agglomeration,United States,No,Pharma,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
